Angulo1,Angulo2,Angulo3,Angulo4,Angulo5,TH1,TH2,TH3,TH4,TH5
-90,30,-60,60,60,0.557429751117135,0.277790581835959,0.225818090890436,0.0219473436114637,0.00243859373460708
-90,30,-60,60,90,0.570908933263879,0.284985596057365,0.230282910069899,0.0227154752263307,0.00704825843535653
-90,30,-60,90,-90,0.686260580294045,0.345776186763799,0.267925953478581,0.0762511755882272,0.00847235284313635
-90,30,-60,90,-60,0.65920427415,0.333714435609468,0.255856893348794,0.07324491935,0.0102342757339518
-90,30,-60,90,-30,0.629076286295326,0.311706387815393,0.238892368449455,0.0698973651439251,0.00829629539566301
-90,30,-60,90,0,0.669653472571554,0.332647878075164,0.256405016118079,0.0744059413968393,0.0104846436828153
-90,30,-60,90,30,0.68324538194267,0.346402682694711,0.268599220586127,0.0759161535491856,0.00706944250397369
-90,30,-60,90,60,0.667167668674519,0.335787112416915,0.261756632821286,0.0741297409638355,0.00313797854051405
-90,30,-60,90,90,0.686260580294045,0.345776186763799,0.267925953478581,0.0762511755882272,0.00847235284313635
-90,30,-30,-90,-90,0.415598207352645,0.16013796582657,0.107242414450273,0.0461775785947384,0.00513084206608204
-90,30,-30,-90,-60,0.402049549737314,0.156368587974591,0.102813593457205,0.044672172193035,0.00451035291746613
-90,30,-30,-90,-30,0.3978579651497,0.153499437470213,0.101093076492101,0.0442064405721889,0.00404372305968405
-90,30,-30,-90,0,0.414216530549169,0.159418191332953,0.106365032634431,0.0460240589499077,0.00535956057734179
-90,30,-30,-90,30,0.409539518528877,0.157685782844304,0.106655460446187,0.0455043909476531,0.00321807720090416
-90,30,-30,-90,60,0.406457155213696,0.155355484779061,0.105671270103593,0.0451619061348551,0.00252914764664049
-90,30,-30,-90,90,0.415598207352645,0.16013796582657,0.107242414450273,0.0461775785947384,0.00513084206608204
-90,30,-30,-60,-90,0.336975665334776,0.138547104192003,0.0814520476539718,0.0328742280370748,0.00416019339919476
-90,30,-30,-60,-60,0.328335913670686,0.136238936305328,0.0785912301966457,0.0318540343494743,0.00353933714994158
-90,30,-30,-60,-30,0.324819840467211,0.133832292957527,0.0772923183597178,0.0311154959967397,0.00309169273438872
-90,30,-30,-60,0,0.336143079174744,0.13818430108061,0.0808511441738002,0.032589397572889,0.00431152235489214
-90,30,-30,-60,30,0.332090062221843,0.136543408423796,0.0810277799985344,0.0327686641845994,0.00278660017191419
-90,30,-30,-60,60,0.329247066484138,0.134381299900196,0.0802387629752286,0.0322832112415723,0.00219238278034351
-90,30,-30,-60,90,0.336975665334776,0.138547104192003,0.0814520476539718,0.0328742280370748,0.00416019339919476
-90,30,-30,-30,-90,0.318714522740334,0.125319471238146,0.0748666421793956,0.0269519911845824,0.00393474719432511
-90,30,-30,-30,-60,0.310292390898953,0.123233295032773,0.0722145520732886,0.0259972387463839,0.00308573731123445
-90,30,-30,-30,-30,0.3088333656518,0.12199316159161,0.0717521139121734,0.0258307610083824,0.00287008455648694
-90,30,-30,-30,0,0.318430098794215,0.125220450168514,0.0746592925125446,0.0268773453045161,0.0039892475486357
-90,30,-30,-30,30,0.313215200121719,0.122746263613297,0.074200279626233,0.0267121006654439,0.00250502578802646
